,Family,Father,Mother,Gender,Height,Kids
174,47,71.7,64.5,M,71.0,4
175,47,71.7,64.5,M,70.5,4
176,47,71.7,64.5,F,67.0,4
177,48,71.0,64.0,M,68.0,3
178,48,71.0,64.0,M,68.0,3
179,48,71.0,64.0,M,68.0,3
180,49,71.5,64.5,M,72.0,7
181,49,71.5,64.5,M,71.0,7
182,49,71.5,64.5,M,70.0,7
183,49,71.5,64.5,F,66.0,7
184,49,71.5,64.5,F,64.5,7
185,49,71.5,64.5,F,64.5,7
186,49,71.5,64.5,F,62.0,7
187,51,71.2,63.0,F,67.5,2
188,51,71.2,63.0,F,64.5,2
189,52,71.0,63.5,M,71.0,5
190,52,71.0,63.5,M,67.0,5
191,52,71.0,63.5,F,66.0,5
192,52,71.0,63.5,F,65.0,5
193,52,71.0,63.5,F,63.5,5
194,53,71.0,63.0,M,71.0,9
195,53,71.0,63.0,M,70.0,9
196,53,71.0,63.0,M,70.0,9
197,53,71.0,63.0,M,64.0,9
198,53,71.0,63.0,F,65.0,9
199,53,71.0,63.0,F,65.0,9
200,53,71.0,63.0,F,64.0,9
201,53,71.0,63.0,F,63.0,9
202,53,71.0,63.0,F,63.0,9
203,54,71.0,63.0,M,71.0,4
204,54,71.0,63.0,M,71.0,4
205,54,71.0,63.0,M,70.0,4
206,54,71.0,63.0,F,63.5,4
207,55,71.0,62.0,M,71.0,5
208,55,71.0,62.0,M,70.0,5
209,55,71.0,62.0,F,64.5,5
210,55,71.0,62.0,F,62.5,5
211,55,71.0,62.0,F,61.5,5
212,56,71.0,62.0,M,72.0,5
213,56,71.0,62.0,M,70.5,5
214,56,71.0,62.0,M,70.5,5
215,56,71.0,62.0,F,64.5,5
216,56,71.0,62.0,F,60.0,5
217,57,71.0,62.5,M,70.0,5
218,57,71.0,62.5,F,64.0,5
219,57,71.0,62.5,F,64.0,5
220,57,71.0,62.5,F,64.0,5
221,57,71.0,62.5,F,62.5,5
222,58,71.0,62.0,M,70.5,7
223,58,71.0,62.0,M,70.0,7
224,58,71.0,62.0,M,69.0,7
225,58,71.0,62.0,M,69.0,7
226,58,71.0,62.0,M,66.0,7
227,58,71.0,62.0,F,64.5,7
228,58,71.0,62.0,F,64.0,7
229,59,71.0,61.0,F,62.0,1
230,60,71.0,58.0,M,71.5,2
231,60,71.0,58.0,M,69.0,2
232,61,70.0,69.0,M,71.0,4
233,61,70.0,69.0,M,70.0,4
234,61,70.0,69.0,M,69.0,4
235,61,70.0,69.0,F,69.0,4
236,62,70.0,69.0,M,70.0,6
237,62,70.0,69.0,M,68.7,6
238,62,70.0,69.0,F,68.0,6
239,62,70.0,69.0,F,66.0,6
240,62,70.0,69.0,F,64.0,6
241,62,70.0,69.0,F,62.0,6
242,63,70.0,68.0,M,75.0,1
243,64,70.0,67.0,M,70.0,5
244,64,70.0,67.0,M,69.0,5
245,64,70.0,67.0,F,66.0,5
246,64,70.0,67.0,F,64.0,5
247,64,70.0,67.0,F,60.0,5
248,65,70.0,67.0,F,67.5,1
249,66,70.0,66.5,M,73.0,11
250,66,70.0,66.5,M,72.0,11
251,66,70.0,66.5,M,72.0,11
252,66,70.0,66.5,M,66.5,11
253,66,70.0,66.5,F,69.2,11
254,66,70.0,66.5,F,67.2,11
255,66,70.0,66.5,F,66.5,11
256,66,70.0,66.5,F,66.0,11
257,66,70.0,66.5,F,66.0,11
258,66,70.0,66.5,F,64.2,11
259,66,70.0,66.5,F,63.7,11
260,67,70.5,65.0,M,72.0,4
261,67,70.5,65.0,M,70.2,4
262,67,70.5,65.0,M,69.0,4
263,67,70.5,65.0,M,68.5,4
264,68,70.5,65.0,F,68.0,5
265,68,70.5,65.0,F,65.0,5
266,68,70.5,65.0,F,61.5,5
267,68,70.5,65.0,F,61.0,5
268,68,70.5,65.0,F,61.0,5
269,69,70.0,65.0,M,73.0,8
270,69,70.0,65.0,M,72.0,8
271,69,70.0,65.0,M,70.5,8
272,69,70.0,65.0,M,65.0,8
273,69,70.0,65.0,M,65.0,8
274,69,70.0,65.0,F,64.5,8
275,69,70.0,65.0,F,63.0,8
276,69,70.0,65.0,F,62.0,8
277,70,70.0,65.0,M,67.0,5
278,70,70.0,65.0,M,65.0,5
279,70,70.0,65.0,F,64.5,5
280,70,70.0,65.0,F,62.5,5
281,70,70.0,65.0,F,62.5,5
282,71,70.0,65.0,M,70.0,6
283,71,70.0,65.0,M,70.0,6
284,71,70.0,65.0,F,67.0,6
285,71,70.0,65.0,F,65.0,6
286,71,70.0,65.0,F,65.0,6
287,71,70.0,65.0,F,63.0,6
288,72,70.0,65.0,M,79.0,7
289,72,70.0,65.0,M,75.0,7
290,72,70.0,65.0,M,71.0,7
291,72,70.0,65.0,F,69.0,7
292,72,70.0,65.0,F,67.0,7
293,72,70.0,65.0,F,65.7,7
294,72,70.0,65.0,F,62.0,7
295,73,70.0,65.0,M,73.0,3
296,73,70.0,65.0,M,72.5,3
297,73,70.0,65.0,F,65.0,3
298,74,70.0,65.0,M,69.0,2
299,74,70.0,65.0,M,69.0,2
300,75,70.0,64.7,M,72.0,7
301,75,70.0,64.7,M,70.0,7
302,75,70.0,64.7,M,68.7,7
303,75,70.0,64.7,F,66.5,7
304,75,70.0,64.7,F,65.5,7
305,75,70.0,64.7,F,64.7,7
306,75,70.0,64.7,F,64.5,7
307,76,70.0,64.0,M,70.7,7
308,76,70.0,64.0,M,70.0,7
309,76,70.0,64.0,M,68.0,7
310,76,70.0,64.0,M,67.0,7
311,76,70.0,64.0,M,66.0,7
312,76,70.0,64.0,M,65.0,7
313,76,70.0,64.0,F,67.0,7
314,77,70.0,64.0,M,70.0,4
315,77,70.0,64.0,M,68.0,4
316,77,70.0,64.0,M,66.7,4
317,77,70.0,64.0,F,65.5,4
318,78,70.0,64.2,M,72.0,5
319,78,70.0,64.2,M,70.0,5
320,78,70.0,64.2,F,62.5,5
321,78,70.0,64.2,F,61.2,5
322,78,70.0,64.2,F,60.1,5
323,79,70.5,64.0,M,74.0,8
324,79,70.5,64.0,M,69.5,8
325,79,70.5,64.0,M,69.0,8
326,79,70.5,64.0,M,68.0,8
327,79,70.5,64.0,M,68.0,8
328,79,70.5,64.0,M,68.0,8
329,79,70.5,64.0,F,65.5,8
330,79,70.5,64.0,F,65.0,8
331,80,70.5,64.5,F,60.0,1
332,81,70.0,64.0,M,68.0,4
333,81,70.0,64.0,F,65.0,4
334,81,70.0,64.0,F,64.0,4
335,81,70.0,64.0,F,62.0,4
336,82,70.0,64.0,M,71.0,9
337,82,70.0,64.0,M,70.0,9
338,82,70.0,64.0,M,70.0,9
339,82,70.0,64.0,M,70.0,9
340,82,70.0,64.0,M,69.5,9
341,82,70.0,64.0,M,68.5,9
342,82,70.0,64.0,F,69.0,9
343,82,70.0,64.0,F,65.0,9
344,82,70.0,64.0,F,64.0,9
345,83,70.0,63.7,M,70.0,8
346,83,70.0,63.7,M,67.0,8
347,83,70.0,63.7,M,65.5,8
348,83,70.0,63.7,F,63.7,8
349,83,70.0,63.7,F,63.2,8
350,83,70.0,63.7,F,62.5,8
351,83,70.0,63.7,F,62.2,8
352,83,70.0,63.7,F,61.0,8
353,85,70.5,63.0,M,72.5,5
354,85,70.5,63.0,M,69.0,5
355,85,70.5,63.0,M,67.0,5
356,85,70.5,63.0,F,64.5,5
357,85,70.5,63.0,F,64.0,5
358,86,70.0,63.5,M,71.0,4
359,86,70.0,63.5,M,67.5,4
360,86,70.0,63.5,F,67.5,4
361,86,70.0,63.5,F,63.5,4
362,87,70.0,63.0,M,68.0,4
363,87,70.0,63.0,M,67.0,4
364,87,70.0,63.0,F,63.7,4
365,87,70.0,63.0,F,62.0,4
366,88,70.0,63.0,M,70.0,4
367,88,70.0,63.0,M,66.5,4
368,88,70.0,63.0,F,62.0,4
369,88,70.0,63.0,F,61.0,4
370,89,70.5,62.0,M,72.0,8
371,89,70.5,62.0,M,70.0,8
372,89,70.5,62.0,M,69.5,8
373,89,70.5,62.0,M,69.5,8
374,89,70.5,62.0,M,68.0,8
375,89,70.5,62.0,F,65.0,8
376,89,70.5,62.0,F,64.0,8
377,89,70.5,62.0,F,63.0,8
378,90,70.3,62.7,M,70.7,7
379,90,70.3,62.7,M,69.7,7
380,90,70.3,62.7,M,69.2,7
381,90,70.3,62.7,M,65.2,7
382,90,70.3,62.7,F,64.0,7
383,90,70.3,62.7,F,63.5,7
384,90,70.3,62.7,F,63.2,7
385,91,70.5,62.0,M,72.0,3
386,91,70.5,62.0,M,72.0,3
387,91,70.5,62.0,F,60.0,3
388,92,70.0,61.0,M,71.2,2
389,92,70.0,61.0,M,67.0,2
390,93,70.0,60.0,M,67.0,4
391,93,70.0,60.0,M,64.5,4
392,93,70.0,60.0,F,65.0,4
393,93,70.0,60.0,F,63.0,4
394,94,70.0,60.0,F,65.0,2
395,94,70.0,60.0,F,65.0,2
396,95,70.0,58.5,M,71.5,3
397,95,70.0,58.5,M,64.5,3
398,95,70.0,58.5,F,63.0,3
399,96,70.0,58.0,M,72.0,5
400,96,70.0,58.0,M,66.0,5
401,96,70.0,58.0,F,66.0,5
402,96,70.0,58.0,F,65.0,5
403,96,70.0,58.0,F,63.0,5
404,97,69.0,68.5,M,75.0,10
405,97,69.0,68.5,M,71.0,10
406,97,69.0,68.5,M,70.0,10
407,97,69.0,68.5,F,66.0,10
408,97,69.0,68.5,F,66.0,10
409,97,69.0,68.5,F,65.5,10
410,97,69.0,68.5,F,65.0,10
411,97,69.0,68.5,F,65.0,10
412,97,69.0,68.5,F,64.0,10
413,97,69.0,68.5,F,64.0,10
414,98,69.0,67.0,F,64.0,1
415,99,69.0,66.0,M,73.0,8
416,99,69.0,66.0,M,72.0,8
417,99,69.0,66.0,M,71.7,8
418,99,69.0,66.0,M,71.5,8
419,99,69.0,66.0,F,65.5,8
420,99,69.0,66.0,F,65.0,8
421,99,69.0,66.0,F,62.7,8
422,99,69.0,66.0,F,62.5,8
423,100,69.0,66.0,M,71.2,3
424,100,69.0,66.0,M,71.0,3
425,100,69.0,66.0,M,70.0,3
426,101,69.0,66.7,M,75.0,6
427,101,69.0,66.7,M,74.0,6
428,101,69.0,66.7,M,72.0,6
429,101,69.0,66.7,M,68.5,6
430,101,69.0,66.7,M,67.0,6
431,101,69.0,66.7,M,66.0,6
432,102,69.0,66.0,M,70.0,6
433,102,69.0,66.0,M,68.5,6
434,102,69.0,66.0,M,68.0,6
435,102,69.0,66.0,F,65.0,6
436,102,69.0,66.0,F,63.0,6
437,102,69.0,66.0,F,62.5,6
438,103,69.0,66.5,M,73.0,5
439,103,69.0,66.5,M,71.0,5
440,103,69.0,66.5,M,70.5,5
441,103,69.0,66.5,M,70.5,5
442,103,69.0,66.5,F,61.0,5
443,104,69.5,66.5,M,70.5,4
444,104,69.5,66.5,M,67.5,4
445,104,69.5,66.5,F,64.5,4
446,104,69.5,66.5,F,64.0,4
447,105,69.0,66.5,M,71.0,6
448,105,69.0,66.5,F,68.5,6
449,105,69.0,66.5,F,67.5,6
450,105,69.0,66.5,F,66.0,6
451,105,69.0,66.5,F,63.0,6
452,105,69.0,66.5,F,63.0,6
453,106,69.5,66.0,M,71.0,7
454,106,69.5,66.0,M,71.0,7
455,106,69.5,66.0,M,70.5,7
456,106,69.5,66.0,M,70.5,7
457,106,69.5,66.0,F,66.5,7
458,106,69.5,66.0,F,65.5,7
459,106,69.5,66.0,F,64.5,7
460,107,69.0,66.0,M,73.0,9
461,107,69.0,66.0,M,72.0,9
462,107,69.0,66.0,M,69.0,9
463,107,69.0,66.0,M,69.0,9
464,107,69.0,66.0,F,66.5,9
465,107,69.0,66.0,F,65.5,9
466,107,69.0,66.0,F,65.5,9
467,107,69.0,66.0,F,65.0,9
468,107,69.0,66.0,F,64.0,9
469,108,69.0,65.0,M,70.0,7
470,108,69.0,65.0,M,68.5,7
471,108,69.0,65.0,M,67.0,7
472,108,69.0,65.0,F,65.0,7
473,108,69.0,65.0,F,64.0,7
474,108,69.0,65.0,F,63.5,7
475,108,69.0,65.0,F,61.0,7
476,109,69.5,64.5,M,69.7,7
477,109,69.5,64.5,M,68.0,7
478,109,69.5,64.5,M,60.0,7
479,109,69.5,64.5,F,65.2,7
480,109,69.5,64.5,F,64.5,7
481,109,69.5,64.5,F,63.7,7
482,109,69.5,64.5,F,60.0,7
483,110,69.2,64.0,M,71.7,4
484,110,69.2,64.0,M,66.5,4
485,110,69.2,64.0,F,65.0,4
486,110,69.2,64.0,F,63.5,4
487,112,69.0,63.0,M,69.0,3
488,112,69.0,63.0,F,67.5,3
489,112,69.0,63.0,F,63.5,3
490,113,69.0,63.0,M,72.0,1
491,114,69.0,63.0,M,73.0,6
492,114,69.0,63.0,M,70.0,6
493,114,69.0,63.0,M,70.0,6
494,114,69.0,63.0,M,64.0,6
495,114,69.0,63.0,F,66.0,6
496,114,69.0,63.0,F,62.0,6
497,115,69.0,63.5,M,70.5,7
498,115,69.0,63.5,M,67.0,7
499,115,69.0,63.5,M,66.0,7
500,115,69.0,63.5,F,65.0,7
501,115,69.0,63.5,F,63.0,7
502,115,69.0,63.5,F,62.0,7
503,115,69.0,63.5,F,61.0,7
504,116,69.0,63.5,M,70.5,3
505,116,69.0,63.5,F,63.7,3
506,116,69.0,63.5,F,63.0,3
507,117,69.7,62.0,F,62.5,1
508,118,69.5,62.0,M,73.0,3
509,118,69.5,62.0,M,72.0,3
510,118,69.5,62.0,M,69.0,3
511,119,69.0,62.0,M,73.0,5
512,119,69.0,62.0,M,71.0,5
513,119,69.0,62.0,M,71.0,5
514,119,69.0,62.0,M,69.0,5
515,119,69.0,62.0,F,63.0,5
516,121,69.0,62.5,M,71.0,8
517,121,69.0,62.5,M,70.0,8
518,121,69.0,62.5,M,70.0,8
519,121,69.0,62.5,M,69.0,8
520,121,69.0,62.5,F,63.5,8
521,121,69.0,62.5,F,62.5,8
522,121,69.0,62.5,F,62.5,8
523,121,69.0,62.5,F,62.0,8
524,122,69.0,62.0,M,72.0,4
525,122,69.0,62.0,M,68.0,4
526,122,69.0,62.0,F,66.0,4
527,122,69.0,62.0,F,66.0,4
528,123,69.5,61.0,M,70.0,5
529,123,69.5,61.0,M,69.5,5
530,123,69.5,61.0,M,69.0,5
531,123,69.5,61.0,F,63.0,5
532,123,69.5,61.0,F,62.0,5
533,124,69.0,61.0,M,68.0,9
534,124,69.0,61.0,M,68.0,9
535,124,69.0,61.0,M,67.5,9
536,124,69.0,61.0,M,64.0,9
537,124,69.0,61.0,M,63.0,9
538,124,69.0,61.0,M,63.0,9
539,124,69.0,61.0,F,63.5,9
540,124,69.0,61.0,F,62.0,9
541,124,69.0,61.0,F,62.0,9
542,125,69.0,60.0,M,70.5,3
543,125,69.0,60.0,F,68.0,3
544,125,69.0,60.0,F,62.5,3
545,126,69.0,60.0,M,69.0,4
546,126,69.0,60.0,M,66.0,4
547,126,69.0,60.0,F,61.7,4
548,126,69.0,60.0,F,60.5,4
549,127,69.0,60.5,M,69.5,1
550,128,68.7,70.5,M,71.0,2
551,128,68.7,70.5,F,61.7,2
552,129,68.5,67.0,M,73.0,3
553,129,68.5,67.0,M,71.0,3
554,129,68.5,67.0,F,67.0,3
555,130,68.5,66.5,M,70.0,11
556,130,68.5,66.5,M,69.0,11
557,130,68.5,66.5,M,69.0,11
558,130,68.5,66.5,M,68.7,11
559,130,68.5,66.5,M,68.5,11
560,130,68.5,66.5,M,68.5,11
561,130,68.5,66.5,M,68.0,11
562,130,68.5,66.5,M,68.0,11
563,130,68.5,66.5,M,68.0,11
564,130,68.5,66.5,F,63.2,11
565,131,68.0,65.0,M,67.5,2
566,131,68.0,65.0,M,66.0,2
567,132,68.0,65.5,M,66.0,2
568,132,68.0,65.5,F,64.0,2
569,133,68.0,65.5,M,71.7,7
570,133,68.0,65.5,M,71.5,7
571,133,68.0,65.5,M,70.7,7
572,133,68.0,65.5,M,65.5,7
573,133,68.0,65.5,F,66.5,7
574,133,68.0,65.5,F,65.2,7
575,133,68.0,65.5,F,61.5,7
576,134,68.0,65.0,M,72.0,4
577,134,68.0,65.0,M,72.0,4
578,134,68.0,65.0,F,68.0,4
579,134,68.0,65.0,F,66.0,4
580,135,68.5,65.0,M,69.2,8
581,135,68.5,65.0,M,68.0,8
582,135,68.5,65.0,M,66.0,8
583,135,68.5,65.0,M,66.0,8
584,135,68.5,65.0,F,62.0,8
585,135,68.5,65.0,F,61.5,8
586,135,68.5,65.0,F,61.0,8
587,135,68.5,65.0,F,60.0,8
588,136,68.0,64.0,M,71.0,10
589,136,68.0,64.0,M,68.0,10
590,136,68.0,64.0,M,68.0,10
591,136,68.0,64.0,M,67.0,10
592,136,68.0,64.0,F,65.0,10
593,136,68.0,64.0,F,64.0,10
594,136,68.0,64.0,F,63.0,10
595,136,68.0,64.0,F,63.0,10
596,136,68.0,64.0,F,62.0,10
597,136,68.0,64.0,F,61.0,10
598,137,68.0,64.0,M,66.0,4
599,137,68.0,64.0,M,63.0,4
600,137,68.0,64.0,F,65.5,4
601,137,68.0,64.0,F,62.0,4
602,138,68.0,64.0,M,71.2,5
603,138,68.0,64.0,M,71.2,5
604,138,68.0,64.0,M,69.0,5
605,138,68.0,64.0,M,68.5,5
606,138,68.0,64.0,F,62.5,5
607,139,68.0,64.5,F,62.0,1
608,140,68.0,64.0,M,69.0,10
609,140,68.0,64.0,M,67.0,10
610,140,68.0,64.0,M,66.0,10
611,140,68.0,64.0,F,66.0,10
612,140,68.0,64.0,F,66.0,10
613,140,68.0,64.0,F,65.0,10
614,140,68.0,64.0,F,65.0,10
615,140,68.0,64.0,F,65.0,10
616,140,68.0,64.0,F,64.0,10
617,140,68.0,64.0,F,63.0,10
618,141,68.0,63.0,M,70.5,8
619,141,68.0,63.0,M,70.0,8
620,141,68.0,63.0,M,68.0,8
621,141,68.0,63.0,M,66.0,8
622,141,68.0,63.0,M,66.0,8
623,141,68.0,63.0,F,66.0,8
624,141,68.0,63.0,F,62.0,8
625,141,68.0,63.0,F,61.5,8
626,142,68.5,63.5,M,73.5,4
627,142,68.5,63.5,M,70.0,4
628,142,68.5,63.5,M,69.5,4
629,142,68.5,63.5,F,65.5,4
630,143,68.0,63.0,M,67.0,1
631,144,68.0,63.0,M,70.0,4
632,144,68.0,63.0,M,68.0,4
633,144,68.0,63.0,F,64.5,4
634,144,68.0,63.0,F,64.0,4
635,145,68.0,63.0,M,71.0,8
636,145,68.0,63.0,M,68.0,8
637,145,68.0,63.0,M,66.0,8
638,145,68.0,63.0,M,65.5,8
639,145,68.0,63.0,M,65.0,8
640,145,68.0,63.0,F,63.0,8
641,145,68.0,63.0,F,62.0,8
642,145,68.0,63.0,F,62.0,8
643,146,68.0,63.0,M,67.0,6
644,146,68.0,63.0,M,67.0,6
645,146,68.0,63.0,M,66.0,6
646,146,68.0,63.0,F,64.0,6
647,146,68.0,63.0,F,63.5,6
648,146,68.0,63.0,F,61.0,6
649,147,68.5,63.5,M,68.2,1
650,148,68.0,63.0,M,70.0,1
651,149,68.2,63.5,M,70.0,5
652,149,68.2,63.5,M,69.0,5
653,149,68.2,63.5,M,67.0,5
654,149,68.2,63.5,M,65.5,5
655,149,68.2,63.5,F,64.5,5
656,150,68.0,62.5,M,68.5,1
657,151,68.7,62.0,M,67.7,2
658,151,68.7,62.0,F,61.7,2
659,152,68.0,62.5,M,66.5,1
660,153,68.0,61.0,M,68.5,5
661,153,68.0,61.0,M,68.0,5
662,153,68.0,61.0,M,64.0,5
663,153,68.0,61.0,F,63.5,5
664,153,68.0,61.0,F,63.0,5
665,154,68.0,60.2,M,66.7,1
666,155,68.0,60.0,M,64.0,7
667,155,68.0,60.0,F,61.0,7
668,155,68.0,60.0,F,61.0,7
669,155,68.0,60.0,F,60.0,7
670,155,68.0,60.0,F,60.0,7
671,155,68.0,60.0,F,60.0,7
672,155,68.0,60.0,F,56.0,7
673,156,68.0,60.0,M,67.5,4
674,156,68.0,60.0,M,67.0,4
675,156,68.0,60.0,M,66.5,4
676,156,68.0,60.0,F,60.0,4
677,157,68.5,59.0,M,69.0,1
678,158,68.0,59.0,M,68.0,10
679,158,68.0,59.0,M,65.0,10
680,158,68.0,59.0,M,64.7,10
681,158,68.0,59.0,M,64.0,10
682,158,68.0,59.0,M,64.0,10
683,158,68.0,59.0,M,63.0,10
684,158,68.0,59.0,F,65.0,10
685,158,68.0,59.0,F,65.0,10
686,158,68.0,59.0,F,62.0,10
687,158,68.0,59.0,F,61.0,10
688,159,67.0,66.2,M,72.7,5
689,159,67.0,66.2,M,72.7,5
690,159,67.0,66.2,M,71.5,5
691,159,67.0,66.2,F,65.5,5
692,159,67.0,66.2,F,63.5,5
693,160,67.0,66.5,M,71.0,1
694,162,67.0,65.0,M,69.7,6
695,162,67.0,65.0,M,67.5,6
696,162,67.0,65.0,F,65.5,6
